name,ccode,Type,pcode,value,size,population,medium2020,medium2100,high2020,high2100,low2020,low2100,fert2020,fert2100,mort2020,mort2100
Somalia,706,Country/Area,910,1000,5,15893,15893,75716,15893,101575,15893,54978,15893,282469,15893,56585
South Africa,710,Country/Area,913,1000,5,59309,59309,79191,59309,119809,59309,49987,59309,116889,59309,64193
Zimbabwe,716,Country/Area,910,1000,5,14863,14863,30965,14863,44900,14863,20425,14863,77107,14863,23956
Spain,724,Country/Area,925,1000,5,46755,46755,33210,46755,46820,46755,22716,46755,27879,46755,29319
South Sudan,728,Country/Area,910,1000,5,11194,11194,31738,11194,44060,11194,22107,11194,95682,11194,24442
Sudan,729,Country/Area,912,1000,5,43849,43849,142342,43849,190507,43849,103291,43849,315631,43849,116731
Western Sahara,732,Country/Area,912,1000,5,597,597,1384,597,1865,597,1011,597,1942,597,1177
Suriname,740,Country/Area,931,1000,5,587,587,613,587,938,587,376,587,912,587,524
Eswatini,748,Country/Area,913,1000,5,1160,1160,2145,1160,3183,1160,1390,1160,4409,1160,1667
Sweden,752,Country/Area,924,1000,5,10099,10099,13023,10099,17837,10099,9334,10099,13171,10099,11784
Switzerland,756,Country/Area,926,1000,5,8655,8655,11041,8655,14765,8655,8115,8655,10388,8655,10011
Syrian Arab Republic,760,Country/Area,922,1000,5,17501,17501,36103,17501,52015,17501,24182,17501,66161,17501,29211
Tajikistan,762,Country/Area,5500,1000,5,9538,9538,25328,9538,37718,9538,16415,9538,56713,9538,21979
Thailand,764,Country/Area,920,1000,5,69800,69800,46016,69800,70059,69800,28955,69800,46701,69800,38853
Togo,768,Country/Area,914,1000,5,8279,8279,26949,8279,37748,8279,18637,8279,67987,8279,20798
Tokelau,772,Country/Area,957,1000,5,1,1,1,1,2,1,1,1,3,1,1
Tonga,776,Country/Area,957,1000,5,106,106,138,106,209,106,84,106,285,106,121
Trinidad and Tobago,780,Country/Area,915,1000,5,1399,1399,969,1399,1512,1399,581,1399,1042,1399,830
United Arab Emirates,784,Country/Area,922,1000,5,9890,9890,12910,9890,17653,9890,9137,9890,12517,9890,11913
Tunisia,788,Country/Area,912,1000,5,11819,11819,12972,11819,18861,11819,8557,11819,16786,11819,11112
